route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
20768,2,8775284,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140233,113787,1,0
20768,2,8775285,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140234,113787,1,0
20768,2,8775286,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140238,113787,1,0
20768,2,8775287,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140235,113787,1,0
20768,2,8775335,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140236,113787,1,0
20768,2,8775288,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140237,113787,1,0
20768,2,8775289,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140239,113787,1,0
20768,2,8775290,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140233,113787,1,0
20768,2,8775291,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140234,113787,1,0
20768,2,8775292,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140238,113787,1,0
20768,2,8775293,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140235,113787,1,0
20768,2,8775294,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140236,113787,1,0
20768,2,8775295,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140237,113787,1,0
20768,2,8775296,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140239,113787,1,0
20768,2,8775297,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140233,113787,1,0
20768,2,8775298,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140234,113787,1,0
20768,2,8775299,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140238,113787,1,0
20768,2,8775300,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140235,113787,1,0
20768,2,8775301,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140236,113787,1,0
20768,2,8775302,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140237,113787,1,0
20768,2,8775303,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140239,113787,1,0
20768,2,8775304,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140233,113787,1,0
20768,2,8775305,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140234,113787,1,0
20768,2,8775306,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140238,113787,1,0
20768,2,8775307,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140235,113787,1,0
20768,2,8775308,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140236,113787,1,0
20768,2,8775309,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140237,113787,1,0
20768,2,8775310,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140239,113787,1,0
20768,2,8775311,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140233,113787,1,0
20768,2,8775312,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140234,113787,1,0
20768,2,8775313,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1140238,113787,1,0
